alpha,amp,Qmin_over_Qmean,R,OSI,rho,field_eps,err_TAWSS,err_R,err_OSI,err_RRT,smooth_err_RRT
2,0.3,0.928005,1,0,0.01,0.0140968,0.00108952,0,nan,0.00108716,3.33067e-16
2,0.3,0.928005,1,0,0.02,0.0279064,0.00214343,0,nan,0.00213428,3.33067e-16
2,0.3,0.928005,1,0,0.05,0.0651392,0.0049774,0,nan,0.00492687,3.33067e-16
2,0.4,0.904007,1,0,0.01,0.0187109,0.00145269,0,nan,0.0014485,0
2,0.4,0.904007,1,0,0.02,0.0370407,0.0028579,0,nan,0.00284168,0
2,0.4,0.904007,1,0,0.05,0.0864605,0.00663653,0,nan,0.00654722,0
2,0.5,0.880008,1,0,0.01,0.0232545,0.00181586,0,nan,0.00180933,0
2,0.5,0.880008,1,0,0.02,0.0460353,0.00357238,0,nan,0.00354709,0
2,0.5,0.880008,1,0,0.05,0.107456,0.00829566,0,nan,0.00815692,0
2,0.6,0.85601,1,0,0.01,0.0277123,0.00217904,0,nan,0.00216964,2.22045e-16
2,0.6,0.85601,1,0,0.02,0.0548602,0.00428686,0,nan,0.00425053,2.22045e-16
2,0.6,0.85601,1,0,0.05,0.128055,0.0099548,0,nan,0.00975616,2.22045e-16
2,0.7,0.832011,1,0,0.01,0.0320708,0.00254221,0,nan,0.00252943,2.22045e-16
2,0.7,0.832011,1,0,0.02,0.0634884,0.00500133,0,nan,0.00495202,2.22045e-16
2,0.7,0.832011,1,0,0.05,0.148195,0.0116139,0,nan,0.0113451,2.22045e-16
2,0.8,0.808013,1,0,0.01,0.0363179,0.00290538,0,nan,0.00288872,0
2,0.8,0.808013,1,0,0.02,0.0718961,0.00571581,0,nan,0.00565157,0
2,0.8,0.808013,1,0,0.05,0.16782,0.0132731,0,nan,0.012924,0
2,0.9,0.784015,1,0,0.01,0.0404435,0.00326855,0,nan,0.00324749,0
2,0.9,0.784015,1,0,0.02,0.0800632,0.00643028,0,nan,0.00634919,0
2,0.9,0.784015,1,0,0.05,0.186884,0.0149322,0,nan,0.0144929,0
2,1,0.760016,1,0,0.01,0.0444391,0.00363173,0,nan,0.00360576,3.33067e-16
2,1,0.760016,1,0,0.02,0.087973,0.00714476,0,nan,0.0070449,3.33067e-16
2,1,0.760016,1,0,0.05,0.205347,0.0165913,0,nan,0.016052,3.33067e-16
2,1.1,0.736018,1,0,0.01,0.0482981,0.0039949,0,nan,0.00396352,0
2,1.1,0.736018,1,0,0.02,0.0956123,0.00785924,0,nan,0.00773871,0
2,1.1,0.736018,1,0,0.05,0.223179,0.0182505,0,nan,0.0176016,0
2,1.2,0.71202,1,0,0.01,0.0520155,0.00435807,0,nan,0.00432078,0
2,1.2,0.71202,1,0,0.02,0.102972,0.00857371,0,nan,0.00843065,0
2,1.2,0.71202,1,0,0.05,0.240357,0.0199096,0,nan,0.0191418,0
2,1.3,0.688021,1,0,0.01,0.0555883,0.00472124,0,nan,0.00467753,2.22045e-16
2,1.3,0.688021,1,0,0.02,0.110044,0.00928819,0,nan,0.00912072,2.22045e-16
2,1.3,0.688021,1,0,0.05,0.256866,0.0215687,0,nan,0.0206726,2.22045e-16
2,1.4,0.664023,1,0,0.01,0.0590145,0.00508442,0,nan,0.00503379,0
2,1.4,0.664023,1,0,0.02,0.116827,0.0100027,0,nan,0.00980893,0
2,1.4,0.664023,1,0,0.05,0.272698,0.0232279,0,nan,0.0221944,0
2,1.5,0.640025,1,0,0.01,0.0622937,0.00544759,0,nan,0.00538955,0
2,1.5,0.640025,1,0,0.02,0.123319,0.0107171,0,nan,0.0104953,0
2,1.5,0.640025,1,0,0.05,0.287851,0.024887,0,nan,0.0237073,0
2,1.6,0.616026,1,0,0.01,0.0654269,0.00581076,0,nan,0.00574481,0
2,1.6,0.616026,1,0,0.02,0.129521,0.0114316,0,nan,0.0111799,0
2,1.6,0.616026,1,0,0.05,0.302328,0.0265461,0,nan,0.0252113,0
2,1.7,0.592028,1,0,0.01,0.0684158,0.00617393,0,nan,0.00609958,2.22045e-16
2,1.7,0.592028,1,0,0.02,0.135438,0.0121461,0,nan,0.0118626,2.22045e-16
2,1.7,0.592028,1,0,0.05,0.31614,0.0282053,0,nan,0.0267068,2.22045e-16
2,1.8,0.56803,1,0,0.01,0.0712631,0.00653711,0,nan,0.00645385,2.22045e-16
2,1.8,0.56803,1,0,0.02,0.141075,0.0128606,0,nan,0.0125436,2.22045e-16
2,1.8,0.56803,1,0,0.05,0.329297,0.0298644,0,nan,0.0281937,2.22045e-16
2,1.9,0.544031,1,0,0.01,0.0739724,0.00690028,0,nan,0.00680764,2.22045e-16
2,1.9,0.544031,1,0,0.02,0.146438,0.013575,0,nan,0.0132227,2.22045e-16
2,1.9,0.544031,1,0,0.05,0.341816,0.0315235,0,nan,0.0296723,2.22045e-16
2,2,0.520033,0.998882,0.000558874,0.01,0.0765475,0.00751438,0.00100374,0.897,0.00716094,2.22045e-16
2,2,0.520033,0.998882,0.000558874,0.02,0.151536,0.0143237,0.00104238,0.931526,0.0139001,2.22045e-16
2,2,0.520033,0.998882,0.000558874,0.05,0.353715,0.0329691,0.000993326,0.887692,0.0311427,2.22045e-16
2,2.1,0.496034,0.996339,0.00183075,0.01,0.0789931,0.00871883,0.00275564,0.749843,0.00751375,2.22045e-16
2,2.1,0.496034,0.996339,0.00183075,0.02,0.156377,0.0157354,0.00293121,0.797618,0.0145758,2.22045e-16
2,2.1,0.496034,0.996339,0.00183075,0.05,0.365016,0.0342376,0.00279215,0.759779,0.0326051,2.22045e-16
2,2.2,0.472036,0.993808,0.00309616,0.01,0.081314,0.00965486,0.00392909,0.630582,0.00786608,0
2,2.2,0.472036,0.993808,0.00309616,0.02,0.160972,0.0170013,0.00430026,0.690151,0.0152497,0
2,2.2,0.472036,0.993808,0.00309616,0.05,0.37574,0.0357396,0.00418995,0.672447,0.0340595,0
2,2.3,0.448038,0.99129,0.00435516,0.01,0.0835151,0.0102761,0.00456225,0.519214,0.00821793,0
2,2.3,0.448038,0.99129,0.00435516,0.02,0.165329,0.018025,0.00521423,0.593413,0.0159219,0
2,2.3,0.448038,0.99129,0.00435516,0.05,0.385911,0.0373018,0.00520527,0.592393,0.0355062,0
2,2.4,0.424039,0.988784,0.00560779,0.01,0.0856016,0.010712,0.00476737,0.420299,0.0085693,2.22045e-16
2,2.4,0.424039,0.988784,0.00560779,0.02,0.16946,0.0187893,0.00565697,0.498728,0.0165924,2.22045e-16
2,2.4,0.424039,0.988784,0.00560779,0.05,0.395553,0.0388006,0.00588188,0.518557,0.0369452,2.22045e-16
2,2.5,0.400041,0.986292,0.00685411,0.01,0.0875789,0.0110041,0.00481462,0.346407,0.00892019,2.22045e-16
2,2.5,0.400041,0.986292,0.00685411,0.02,0.173374,0.0193318,0.00570143,0.410212,0.0172612,2.22045e-16
2,2.5,0.400041,0.986292,0.00685411,0.05,0.40469,0.0402056,0.0062423,0.449127,0.0383767,2.22045e-16
2,2.6,0.376043,0.983812,0.00809416,0.01,0.089452,0.0111768,0.00457806,0.278222,0.0092706,0
2,2.6,0.376043,0.983812,0.00809416,0.02,0.177082,0.0197159,0.00551468,0.335143,0.0179283,0
2,2.6,0.376043,0.983812,0.00809416,0.05,0.413345,0.041538,0.00638734,0.388177,0.0398009,0
2,2.7,0.352044,0.981344,0.00932799,0.01,0.0912263,0.0112335,0.00418414,0.220094,0.00962054,2.22045e-16
2,2.7,0.352044,0.981344,0.00932799,0.02,0.180594,0.0199977,0.0052336,0.275298,0.0185937,2.22045e-16
2,2.7,0.352044,0.981344,0.00932799,0.05,0.421544,0.0428549,0.00648671,0.341215,0.0412178,2.22045e-16
2,2.8,0.328046,0.978889,0.0105556,0.01,0.0929068,0.0112238,0.00371926,0.172455,0.00997001,2.22045e-16
2,2.8,0.328046,0.978889,0.0105556,0.02,0.183921,0.020205,0.00494733,0.229398,0.0192574,2.22045e-16
2,2.8,0.328046,0.978889,0.0105556,0.05,0.429309,0.0441514,0.00660501,0.306261,0.0426276,2.22045e-16
2,2.9,0.304048,0.976446,0.0117772,0.01,0.0944983,0.0111865,0.00328136,0.136029,0.010319,2.22045e-16
2,2.9,0.304048,0.976446,0.0117772,0.02,0.187072,0.0203822,0.0047698,0.197732,0.0199196,2.22045e-16
2,2.9,0.304048,0.976446,0.0117772,0.05,0.436664,0.0455035,0.00674415,0.279579,0.0440303,2.22045e-16
2,3,0.280049,0.974015,0.0129926,0.01,0.0960058,0.0111515,0.00299057,0.112097,0.0106675,0
2,3,0.280049,0.974015,0.0129926,0.02,0.190056,0.0205537,0.00476984,0.17879,0.02058,0
2,3,0.280049,0.974015,0.0129926,0.05,0.44363,0.0468619,0.00702772,0.263423,0.0454262,0
